"variable","center","scale"
"z_0",0.0173022802542908,1.15283961694798
"z_1",0.0202768729051359,1.14163750361241
"z_2",0.00583273060071104,1.04070779317313
"z_3",0.0680568962036469,0.94072601777545
"z_4",-0.0459454790332816,1.28556956910003
"z_5",0.0701764233529653,1.14604213068145
"z_6",0.0349306646771663,1.21250690537628
"z_7",-0.0743556291563899,1.11234060114487
"z_8",0.0355786450705257,1.14408979868872
"z_9",0.0237090592795438,1.21272506769012
"z_10",0.0178568259954495,1.44942533227142
"z_11",0.035786453976547,0.939258919991054
"z_12",-0.0292577310643982,0.938652417390896
"z_13",-0.00552542365978095,1.37861467368006
"z_14",0.0253711550859075,1.15059297347562
"z_15",-0.0274006476550283,1.0869898920319
"z_16",0.0154740460675751,1.32404471535474
"z_17",-0.00601652095790924,1.31807495825996
"z_18",0.00707606408551584,1.22773790264128
"z_19",-0.0103004081651841,1.45578018090254
"z_20",-0.0564964084201024,1.16300137810921
"z_21",0.0337440599246432,1.38414511919115
"z_22",0.086377295058313,1.07301877426631
"z_23",-0.00779843394656965,0.908472932973884
"z_24",-0.0442763594163232,0.858067040704936
"z_25",0.0415714685649972,1.16519672025891
"z_26",0.0231457509081205,0.974102452339471
"z_27",0.0473755698687321,1.19793698287759
"z_28",-0.0107003737305855,1.15393776277181
"z_29",-0.107359807563139,1.34946575194252
"z_30",0.0475717663018759,1.29788563744596
"z_31",0.0213162347427174,1.19608508169934
"z_32",-0.0119829503545319,1.40202376249737
"z_33",-0.0334182074537597,1.13190990256943
"z_34",-0.0197250564978086,1.15775563447261
"z_35",0.0097253355931766,1.04579009083915
"z_36",-0.0440671851772355,1.21876163901644
"z_37",-0.066288527011774,1.13466218085972
"z_38",0.0571023975375746,1.04911207979923
"z_39",0.0302236624933367,1.25090154146087
"z_40",-0.0175847466534914,1.18067694176895
"z_41",0.0415931677537157,1.16930837671154
"z_42",0.0511000192685132,1.32613350403542
"z_43",0.0456469904706624,1.01057246887568
"z_44",-0.0572147566930459,1.04513801544079
"z_45",-0.0604190079134805,1.07576524643502
"z_46",-0.00680471115698431,1.15255154760261
"z_47",0.0120456424894762,1.1563042108468
"z_48",-0.0638745436723613,1.25010696329607
"z_49",-0.034657613262093,0.946735538063476
"z_50",-0.0209737722898438,0.980492002764214
"z_51",-0.00364330733421768,1.33105834809061
"z_52",-0.0589433527124277,0.99935245438377
"z_53",-0.00712908777303096,1.02827035252064
"z_54",0.0498291076132438,1.06864757647443
"z_55",-0.0558372827998612,1.25294562345929
"z_56",0.0190538493797031,1.12195540896339
"z_57",0.0265325892355132,1.12183846144041
"z_58",-0.0169319857825501,1.28694107964372
"z_59",0.0456650978610387,1.07819732868961
"z_60",-0.0116919521131424,1.23362416946639
"z_61",-0.0374608426783686,1.30019089626523
"z_62",-0.035489917064855,1.34213839159182
"z_63",0.0350697341947417,1.1796333485679
"z_64",0.0497264640737028,1.15781256647129
"z_65",0.0248518779578907,1.1479256280729
"z_66",-0.0358436400491544,1.2540310758929
"z_67",-0.0149977131919834,1.09838148717792
"z_68",-0.0862728846512764,1.03104788110577
"z_69",-0.0657213136946884,1.05013224326768
"z_70",-0.0447829468161983,1.09472852044111
"z_71",0.00952801539070503,1.27084034259451
"z_72",0.0285985642989174,1.20187665690591
"z_73",0.142839144220372,1.2008387986955
"z_74",0.0267800865640075,1.16236058081189
"z_75",0.0138174619196099,1.13688230959518
"z_76",-0.0200915610586645,1.30385597503116
"z_77",-0.0305157050278151,1.02359474624593
"z_78",-0.0814429014733438,1.10889092319927
"z_79",-0.0344149412415741,1.35817219502151
"z_80",0.0266669879447037,1.20281655769191
"z_81",-0.0324688502189114,1.07429502229208
"z_82",-0.0476437230777903,1.19586729112938
"z_83",0.0586239094740206,1.1316716355507
"z_84",0.0205780251174972,1.10219522955123
"z_85",0.0320632171139722,1.13551149101836
"z_86",0.00304217180220699,0.884625477738893
"z_87",0.0251657931684378,1.2394264631205
"z_88",-0.0768925183079753,1.27960395528696
"z_89",-0.06375551181242,1.22847957565319
"z_90",0.014677320253999,1.13977963587492
"z_91",0.0148060063324911,1.05566852901129
"z_92",0.0894182723916239,1.16447712909477
"z_93",0.0127816117764751,1.24894093747504
"z_94",-0.0627614194202134,1.16576655559695
