"variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"z_0",-0.0361954782238478,0.0424900060518076,-0.00648055938763503,0.118296426499897,-0.0204451185745626,0.0332901704338273,-0.0204131336297935,0.0614494962164786,-0.0140680444694825,0.0128058131554859
"z_1",0.0259763326693466,-0.0537518236377913,0.0258180085632435,-0.0204496296165905,0.0592296958300538,0.0135392358598689,0.0372129441955385,-0.0804267078042849,0.0161980696060135,-0.0204266577568726
"z_2",0.0210911850204006,0.000196269147291817,0.0609257559081874,-0.0217604730568253,-0.024900473869366,0.0394424817418848,0.0464306557859543,0.00927200409088211,-0.0310093899279979,-0.0200733914751174
"z_3",0.015643327948367,0.00950393527919549,0.0461072846930205,0.0192303178453835,-0.0203925966471561,-0.011295897928494,0.0184964234349487,-0.0599430931874264,-0.105844158529202,-0.0300307097346329
"z_4",0.0434238365828298,-0.0118069382155901,0.064312444677342,0.0387823389219342,0.101755614645781,0.00996202706995435,-0.00512261577166236,0.0678570889223648,-0.0246062824866315,0.053233442089482
"z_5",0.0169254250143144,-0.0986054320032764,-0.0414573928438214,-0.00620651601349773,0.0425948718775162,-0.00592638034063284,0.0278562486742205,0.0244786661254813,-0.036833352155716,-0.0794946054633717
"z_6",-0.0432546760496001,-0.0230594541387765,0.00300430792648614,-0.0853234601803285,-0.05187246849745,-0.00449829190472386,0.0580555178361531,-0.0371765983128753,-0.0627426153486792,-0.0172886652697233
"z_7",-0.0147916814212006,0.0231295780450454,-0.066045959221814,-0.0659630752887866,-0.0622986483928014,0.0826670517259733,0.0254665772363097,0.0338644518608022,0.030340318282842,0.0323253662794907
"z_8",-0.0828089956006064,0.059861879809576,0.0539728825735694,0.0010319336701928,0.0179694004023258,0.0207553193074181,0.0609403544192146,0.0361226607096063,0.0303052401980971,0.040892877060175
"z_9",0.0337189595228761,0.0373113653839333,0.0224459839667541,0.0407550100974325,-0.0405810934265401,0.0547183399882448,0.00448558258982994,-0.0620148991099554,0.00109856048249529,0.0090722690260888
"z_10",0.0429625501293305,-0.0256269943925996,0.0618755980470405,0.0538364500301333,0.017281930345948,0.0730114762572216,0.0384420048968867,0.0102555332209393,-0.0748128192845963,-0.0486374909413922
"z_11",0.014567760755768,0.0896844450732792,-0.00290068100296026,-0.00918526187842626,0.0120819507271739,-0.0113041781832068,0.0614021080751314,-0.0143200261286164,0.0545355545552832,-0.0402282705271403
"z_12",-0.044092220424028,0.0227878972881284,0.012014381825698,-0.0238241301422384,-0.0415321634194825,0.0320566717181262,-0.00716216466157293,-0.0706093319198798,-0.0253784498865633,-0.0801029263796481
"z_13",0.0314890332350484,0.052101042906867,-0.0939409023928214,0.0411224510010547,-0.0151396873626592,-0.0332568320080907,-0.0500507459739892,-0.000182901704609523,0.0137684001707981,0.0248023974625972
"z_14",0.0519983546732949,-0.0250999093231964,0.069489949273494,0.0507719818902887,-0.0824406325803791,-0.0104051718815028,-0.0552661976102473,0.022507614972264,-0.057521446551189,0.0190520845474243
"z_15",-0.0349550589206917,0.0541376574607992,0.0317708641426159,-0.0512024167038248,0.0390252721782338,0.0652209036201376,-0.0317218648424473,-0.0130391205508917,0.0266506423141308,-0.0448784652446598
"z_16",0.0516075122972124,0.0273846812016409,-0.0201909889545133,-0.095047252704218,-0.0358183483471346,0.0456256097703758,-0.0032223230013114,0.055225112425226,-0.0368683678840349,-0.0662737044511808
"z_17",0.0871349516559255,0.00419795311208913,-0.0333324716651592,0.03856999058744,0.026636777369156,0.0696748584544049,-0.0343955129251986,0.0534596673282944,0.0264895664939052,0.0314611029332142
"z_18",0.00616144808246621,-0.0286119251470673,-0.0157595434580541,-0.0419325387576003,0.0683440064417536,-0.047339795439232,-0.0264819691655999,0.012841941164705,0.0820893564777434,0.0759341009786943
"z_19",0.0182035199480746,-0.115239211642046,0.0388794788330718,0.0126305993714082,0.0457288833742012,0.0439447452679652,0.0191101408609614,-0.0086785020846709,0.0187769377988469,0.00156429553894206
"z_20",0.0372121518390504,0.0459230245512154,-0.00863654933354853,-0.105414676177468,0.073575229771948,-0.0116748131616883,-0.0507702517130861,-0.0117091332161995,0.00926344425905329,0.00186076806877618
"z_21",0.0684418835715548,-0.002051928758156,0.0402314683756646,-0.0581163481494838,0.0564210591165234,-0.0528298537674216,0.0204439292660825,-0.00278297472704693,-0.0284702498063185,-0.0944046112771352
"z_22",0.0598630557172249,0.0472601650018647,0.042235842246899,0.0649540927613513,-0.0195793684358914,-0.0599616906805526,0.0414462152422853,0.0284475707800359,-0.0132525471522841,0.0272073238081969
"z_23",-0.00358397808262174,-0.0286287890308556,0.0133003265237546,0.0357011553032664,-0.0252507547518243,0.020916286146042,-0.0118490374260501,0.0122509384648367,-0.0671165422022802,0.0297226290497411
"z_24",-0.0218486187769422,-0.0612952498504691,-0.0654146509151753,-0.00540759821283687,0.0182592521022485,-0.0214285434704785,0.0438709844512599,0.0621990380628646,0.0067148611250463,-0.0081053932549691
"z_25",0.023697852042775,0.0213253337689601,0.0119347686402428,-0.0414627400515853,-0.0654349045561478,0.0700124838344718,0.066565327700492,0.0283592645893458,0.0331854864067749,-0.0204883468826753
"z_26",0.0277717065869416,0.0695768904564392,0.012742840762453,-0.0216221477526036,0.0466210055199012,0.0401272417286273,-0.011211355049275,-0.0432932393478634,0.00102453970626942,-0.0304762030329394
"z_27",-0.0110227790411134,-0.0415434533689973,-0.0522629772748227,-0.0746030446552462,-0.0111485657255049,-0.0763866604341732,0.0589737727634734,0.0586195436499562,-0.0053218118414668,0.0108184714851112
"z_28",0.039773860327647,0.0844674849882675,0.0462856319724526,-0.0065922268891735,-0.00172452131566928,0.0662730983616449,-0.052140832209041,-0.0336032875050376,-0.0664347995928345,0.0241070005438114
"z_29",-0.0066466000560655,-0.0127129535223389,0.0236078792149197,0.0438258718237941,-0.0708799628243475,0.089674726628444,-0.0875757652816317,0.0110940349408685,0.0170364445306548,-0.0207903258793949
"z_30",0.0493295601638658,-0.0242028812094056,-0.0227435259856479,-0.0217551809139992,0.034644642916327,0.0443577860809555,0.0781671443952598,-0.0454821771439732,0.053872389393476,0.0221057317755497
"z_31",-0.0850646146517465,0.0110564772013189,0.0244315032769715,0.0681580792878676,-0.0111141346109066,0.0252312269571835,-0.0538456033087098,0.00184597827155737,-0.0146754772507732,0.0468908526452973
"z_32",0.00963442855103302,0.0372583148725135,0.0556201325883761,-0.0187246630955929,-0.0914925800195932,0.0195750897067169,-0.0167974182896659,-0.0477528434387609,0.023534621403887,-0.0118962151234143
"z_33",0.019901833683004,-0.0179919642300894,-0.00490770175021518,0.0462318701990603,-0.025809425771379,-0.109944873069306,-0.0454356157009757,0.00225126672203916,0.00303511308519643,-0.00138256912756011
"z_34",0.0100781479021445,-0.022633166765896,-0.00143974682683806,-0.061675156641572,-0.00332377320555493,0.0473184873175851,-0.00807592086079215,-0.0490166355185427,0.0970884792434046,-0.0397850887361349
"z_35",0.0254798933326069,-0.0418418351904923,0.0823559278378168,-0.00618849519685473,-0.017056302105034,-0.0637479153460793,-0.0375061519572801,-0.0218365543052013,-0.0551402606995555,0.0278460121040522
"z_36",0.0675049855316873,-0.0624973652705709,-0.0558837124669147,-0.00885934621998488,-0.0252893939789258,0.0168135040447146,0.0294257275476067,0.0536884055597395,0.0164572525497988,0.00249638751849532
"z_37",-0.0077874229356101,0.0663394117511095,-0.0018695989748168,0.0752870082667257,-0.0152237758819126,0.0539150363764189,-0.0423475336031335,-0.0334059582877464,-0.0429071748935005,0.000850853067032738
"z_38",-0.00512475750250729,0.0540608155780858,0.0357643544170972,0.00468953453128277,-0.0405901752147205,0.0677422855886491,0.0581687641858365,-0.046169746640177,-0.0367181082133781,-0.0171563390532605
